Date,open,high,low,close,mean_candle,open_norm,high_norm,low_norm,close_norm
2010-01-04,313.788788,315.070068,312.432434,313.68869,313.68869,0.06876026272772326,0.0675417673311258,0.07025025274317032,0.0698190542367905
2010-01-05,313.9039,314.234222,311.081085,312.307312,312.307312,0.06884409665760513,0.06693932048643975,0.06925515625695375,0.06880846000153043
2010-01-06,313.243256,313.243256,303.48349,304.434448,304.434448,0.06836296191254917,0.066225068889984,0.0636604948569777,0.06304879756779641
2010-01-07,305.005005,305.305298,296.621613,297.347351,297.347351,0.06236319684302358,0.060503682713164,0.05860759609318683,0.05786398980849447
2010-01-08,296.296295,301.926941,294.849854,301.31131,301.31131,0.05602080522875641,0.058068688091100856,0.05730292116811378,0.0607639593419656
2010-01-11,302.532532,302.532532,297.317322,300.855865,300.855865,0.060562540715801305,0.058505175658332464,0.05911989719477434,0.06043076300361505
2010-01-12,299.124115,299.379395,294.294281,295.535522,295.535522,0.058080253970838436,0.05623251127217424,0.05689381238856331,0.056538484448862975
2010-01-13,288.533539,294.484497,287.237244,293.838837,293.838837,0.050367334329162544,0.052704450056160757,0.05169720313233114,0.05529721661337389
2010-01-14,292.242249,297.3974,291.696686,295.220215,295.220215,0.053068318884136684,0.05480396267119572,0.05498101439403069,0.056307810848633955
2010-01-15,296.96698,297.077087,289.309296,290.290283,290.290283,0.05650925264746878,0.05457309292226836,0.05322300561892637,0.05270115078931334
2010-01-19,290.8909,295.505493,288.433441,294.104095,294.104095,0.052084156526502945,0.05344034616457913,0.05257804992433143,0.05549127515901209
2010-01-20,293.283295,293.283295,287.932922,290.495483,290.495483,0.05382649333482642,0.05183866813612939,0.05220948140636558,0.05285127185470989
2010-01-21,292.012024,293.703705,286.411407,291.781769,291.781769,0.052900650296091506,0.05214168409597661,0.05108907932649889,0.053792298290990026
2010-01-22,282.532532,285.585571,267.697693,275.280273,275.280273,0.04599691247862914,0.04629043373043265,0.03730881157519181,0.04172006554168661
2010-01-25,273.568573,275.21521,268.02301,270.270264,270.270264,0.03946862776226645,0.03881586154523928,0.03754836612668552,0.03805482241923849
2010-01-26,269.254242,275.075073,268.413422,271.481476,271.481476,0.03632658069036104,0.03871485598503585,0.03783585485785476,0.03894092590784032
2010-01-27,270.905914,274.099091,267.922913,271.32132,271.32132,0.037529462706448385,0.03801140430090938,0.03747465743042658,0.038823758318417084
2010-01-28,272.517517,273.773773,265.565552,267.412415,267.412415,0.03870316321464398,0.03777692713332162,0.035738761190562685,0.03596406541815422
